Imbalanced Loss	Imbalanced Acc.	Imbalanced GM.	Reversed Loss	Reversed Acc.	Reversed GM.	Weak Loss	Weak Acc.	Weak GM.	Strong Loss	Strong Acc.	Strong GM.	
0.482940	88.095238	0.678590	1.983786	53.066989	0.689790	1.274669	69.050000	0.662355	1.694071	42.830000	0.355775	
0.482712	87.853107	0.658904	2.028928	52.824859	0.684906	1.284383	68.720000	0.655982	1.525395	47.620000	0.452131	
0.476599	88.135593	0.665539	2.212114	51.412429	0.675661	1.323409	69.290000	0.663543	1.710062	42.520000	0.347500	
0.471177	88.256659	0.681007	1.861664	55.286521	0.683391	1.224964	69.670000	0.671811	1.635397	42.060000	0.376653	
0.467427	88.458434	0.656177	2.050665	53.026634	0.681258	1.303527	69.350000	0.665943	1.641553	43.230000	0.368422	
0.477413	87.368846	0.657094	1.838152	56.658596	0.691903	1.235316	70.370000	0.680674	1.650202	42.480000	0.382197	
0.475234	87.247780	0.665820	1.760490	57.788539	0.704738	1.206168	70.750000	0.687756	1.565506	45.060000	0.393766	
0.479874	87.126715	0.686174	1.746097	58.192090	0.688920	1.207694	71.220000	0.691861	1.477922	49.070000	0.474161	
0.473558	87.893462	0.691805	1.963163	55.165456	0.682982	1.279826	70.140000	0.676839	1.468220	48.410000	0.445465	
0.477203	87.489911	0.689570	1.743229	58.232445	0.693925	1.200893	71.040000	0.690136	1.449939	49.510000	0.478440	
0.472986	87.933818	0.695043	1.890435	55.730428	0.691727	1.248736	70.720000	0.684578	1.476940	48.720000	0.434766	
0.480514	87.772397	0.685980	1.789959	58.514931	0.701772	1.224619	70.570000	0.683937	1.471871	48.890000	0.470737	
0.477084	87.812752	0.670170	1.901758	56.335755	0.691847	1.265024	70.120000	0.678381	1.604303	45.120000	0.378974	
0.472118	88.014528	0.696679	1.906150	56.497175	0.687496	1.244888	70.460000	0.681876	1.491355	48.780000	0.460301	
0.469507	87.893462	0.684923	2.096891	53.793382	0.685382	1.296467	69.750000	0.669425	1.738754	42.290000	0.328786	
0.487509	87.933818	0.675775	2.174196	53.672316	0.682693	1.342929	69.420000	0.667197	1.552338	46.520000	0.427204	
0.479918	87.893462	0.684639	2.190087	52.663438	0.682876	1.340666	69.490000	0.666730	1.536633	47.320000	0.406520	
0.469150	88.256659	0.692930	2.227035	53.551251	0.682314	1.327093	69.880000	0.672201	1.418091	51.240000	0.489604	
0.466566	88.297014	0.701290	2.144330	53.228410	0.676067	1.341391	69.670000	0.667727	1.476512	49.820000	0.449936	
0.468436	88.377724	0.703916	2.319080	52.300242	0.670731	1.391063	69.100000	0.658566	1.416144	51.150000	0.473841	
0.460959	88.740920	0.710256	2.337944	52.179177	0.670582	1.362328	69.500000	0.665620	1.474443	50.060000	0.448928	
0.461346	88.579500	0.716441	2.030234	56.860371	0.700080	1.267827	70.750000	0.682421	1.397733	51.820000	0.485275	
0.459387	88.175948	0.681473	1.977304	54.923325	0.682794	1.243836	70.860000	0.682757	1.418796	50.720000	0.466629	
0.459297	88.054883	0.686291	1.758067	58.393866	0.691480	1.188985	71.590000	0.696116	1.400288	50.810000	0.479754	
0.458858	88.498789	0.674337	2.060484	52.663438	0.682177	1.271808	70.420000	0.677358	1.441725	50.730000	0.457974	
0.450380	88.297014	0.655011	1.962777	53.874092	0.679246	1.219180	71.000000	0.684692	1.386630	52.270000	0.497124	
0.457195	88.700565	0.681346	2.171141	50.121065	0.669690	1.272223	69.750000	0.663024	1.433605	51.010000	0.451117	
0.455884	88.579500	0.695713	1.935860	54.358354	0.677645	1.235691	70.290000	0.674398	1.389494	51.380000	0.490325	
0.450280	88.983051	0.701628	2.023507	54.358353	0.670551	1.268809	69.820000	0.668093	1.417238	50.660000	0.455821	
